RaceNo,WPM,Accuracy,Points,Date,Rank,Racers
4594,89,96.3,58,2020-05-27,1,2
4595,111,98.6,100,2020-05-27,2,5
4596,89,95.4,75,2020-05-27,3,5
4597,105,98.3,77,2020-05-27,2,5
4598,94,96.4,125,2020-05-27,2,5
4599,94,97.5,91,2020-05-27,1,5
4600,88,96.4,67,2020-05-27,1,5
4601,122,100.0,61,2020-05-27,1,4
4602,94,96.5,132,2020-05-27,3,4
4603,76,95.3,43,2020-05-27,1,5
4604,98,97.8,62,2020-05-27,2,5
4605,85,96.1,54,2020-05-27,2,4
4606,88,95.7,57,2020-05-27,1,5
4607,106,98.3,83,2020-05-27,4,5
4608,89,96.3,63,2020-05-27,5,5
4609,106,99.4,51,2020-05-27,3,4
4610,93,96.9,84,2020-05-27,2,2
4611,98,98.0,75,2020-05-27,2,5
4612,93,97.0,109,2020-05-27,2,5
4613,106,97.7,203,2020-05-27,4,4
4614,88,96.8,44,2020-05-27,4,5
4615,84,96.7,56,2020-05-27,1,5
4616,97,98.4,66,2020-05-27,1,5
4617,103,97.7,137,2020-05-27,2,5
4618,97,97.2,55,2020-05-27,2,3
4619,104,98.0,95,2020-05-27,1,5
4620,93,96.1,65,2020-05-27,3,5
4621,104,98.0,90,2020-05-27,1,5
4622,91,97.6,85,2020-05-27,3,5
4623,88,96.1,66,2020-05-27,4,5
4624,92,96.1,77,2020-05-27,4,5
4625,93,96.4,54,2020-05-27,2,5
4626,102,98.6,73,2020-05-27,2,5
4627,108,98.6,61,2020-05-27,1,5
4628,100,97.5,146,2020-05-27,1,5
4629,106,98.8,115,2020-05-27,2,3
4630,105,97.1,101,2020-05-27,3,5
4631,91,96.8,139,2020-05-27,2,4
4632,84,95.7,83,2020-05-27,4,5
4633,97,97.4,58,2020-05-27,1,5
4634,99,96.9,76,2020-05-27,2,5
4635,88,96.4,125,2020-05-27,3,4
4636,104,96.2,80,2020-05-27,2,5
4637,104,97.7,119,2020-05-27,3,5
4638,76,94.5,75,2020-05-27,1,4
4639,114,98.7,80,2020-05-27,1,5
4640,110,98.0,106,2020-05-27,1,5
4641,86,96.6,73,2020-05-27,1,5
4642,102,97.5,71,2020-05-27,3,5
4643,105,97.4,100,2020-05-27,1,5
4644,110,98.4,104,2020-05-27,1,5
4645,106,98.4,138,2020-05-27,1,3
4646,89,96.4,60,2020-05-27,4,5
4647,93,96.9,62,2020-05-27,3,5
4648,85,95.2,75,2020-05-27,1,5
4649,106,98.6,48,2020-05-27,3,4
4650,99,98.1,89,2020-05-27,1,5
4651,90,97.3,100,2020-05-27,3,5
4652,97,98.1,58,2020-05-27,1,5
4653,89,95.9,61,2020-05-27,4,5
4654,93,96.4,65,2020-05-27,4,5
4655,77,95.8,69,2020-05-27,1,3
4656,98,97.1,80,2020-05-27,3,5
4657,94,97.5,66,2020-05-27,3,5
4658,95,97.8,89,2020-05-27,2,5
4659,101,97.8,104,2020-05-27,2,5
4660,96,97.4,54,2020-05-27,2,5
4661,86,96.3,48,2020-05-28,3,5
4662,85,97.1,154,2020-05-28,1,5
4663,96,97.2,62,2020-05-28,2,4
4664,104,98.3,73,2020-05-28,1,5
4665,99,98.0,40,2020-05-28,1,5
4666,93,97.6,206,2020-05-28,2,4
4667,107,97.5,103,2020-05-28,2,2
4668,83,96.4,139,2020-05-28,4,5
4669,106,98.5,114,2020-05-28,2,4
4670,85,96.9,105,2020-05-28,2,4
4671,102,98.3,120,2020-05-28,1,5
4672,100,97.6,75,2020-05-28,1,3
4673,87,96.4,113,2020-05-28,3,4
4674,88,96.4,82,2020-05-28,2,3
4675,91,96.2,89,2020-05-28,3,5
4676,103,97.2,74,2020-05-28,1,5
4677,84,95.8,66,2020-05-28,3,5
4678,93,96.3,84,2020-05-28,1,5
4679,83,95.6,101,2020-05-28,5,5
4680,97,98.4,74,2020-05-28,3,5
4681,90,96.9,57,2020-05-28,1,5
4682,94,97.0,115,2020-05-28,1,5
4683,98,96.7,68,2020-05-28,2,4
4684,89,96.6,70,2020-05-28,2,5
4685,106,98.1,177,2020-05-28,2,4
4686,95,97.6,112,2020-05-28,3,4
4687,90,96.4,65,2020-05-28,3,5
4688,104,97.7,63,2020-05-28,1,5
4689,91,96.5,53,2020-05-28,1,5
4690,100,97.7,60,2020-05-28,1,5
4691,100,98.1,78,2020-05-29,3,5
4692,88,96.8,85,2020-05-29,1,4
4693,88,95.9,189,2020-05-29,2,4
4694,92,96.9,73,2020-05-29,1,5
4695,99,98.7,89,2020-05-29,2,3
4696,97,98.2,50,2020-05-29,3,5
4697,86,96.9,50,2020-05-29,1,4
4698,87,97.4,93,2020-05-29,3,5
4699,87,96.5,98,2020-05-29,1,3
4700,98,97.9,170,2020-05-29,1,5
4701,96,96.2,66,2020-05-29,3,5
4702,95,97.1,57,2020-05-29,1,5
4703,86,96.7,46,2020-05-29,1,5
4704,94,96.8,55,2020-05-29,2,5
4705,94,97.8,92,2020-05-30,1,4
4706,78,96.3,77,2020-05-30,4,5
4707,99,98.5,63,2020-05-30,1,5
4708,100,97.9,100,2020-05-30,2,5
4709,89,96.3,120,2020-05-30,5,5
4710,98,97.2,100,2020-06-02,4,5
4711,93,95.9,76,2020-06-02,2,5
4712,91,97.0,113,2020-06-02,4,5
4713,86,97.2,79,2020-06-03,2,5
4714,90,97.0,78,2020-06-03,2,5
4715,112,98.7,77,2020-06-03,2,4
4716,93,97.2,125,2020-06-03,2,3
4717,92,95.6,58,2020-06-03,5,5
4718,88,97.9,98,2020-06-03,2,2
4719,89,96.2,79,2020-06-03,1,4
4720,98,97.7,119,2020-06-03,2,5
4721,85,95.8,100,2020-06-03,2,5
4722,99,96.6,112,2020-06-15,2,4
4723,85,95.8,50,2020-06-15,4,5
4724,101,97.4,135,2020-06-15,1,5
4725,90,97.3,60,2020-06-15,2,5
4726,98,97.8,66,2020-06-15,3,4
4727,88,96.2,143,2020-06-15,1,3
4728,106,96.7,18,2020-06-15,3,5
4729,98,97.1,43,2020-06-15,1,5
4730,96,96.7,61,2020-06-15,3,5
4731,87,97.1,71,2020-06-15,2,3
4732,82,96.0,112,2020-06-15,3,5
4733,95,97.8,100,2020-06-15,2,5
4734,77,93.3,35,2020-06-16,3,5
4735,75,95.4,80,2020-06-16,3,5
4736,91,96.6,59,2020-06-16,3,4
4737,104,98.8,85,2020-06-17,2,5
4738,106,97.4,79,2020-06-17,2,5
4739,98,97.8,95,2020-06-17,1,5
4740,102,97.5,100,2020-06-17,2,5
4741,77,95.2,51,2020-06-17,3,3
4742,94,97.7,72,2020-06-17,4,5
4743,81,95.9,106,2020-06-17,1,5
4744,104,98.9,131,2020-06-17,3,5
4745,94,97.4,58,2020-06-17,1,5
4746,106,97.8,71,2020-06-17,1,5
4747,91,96.1,79,2020-06-17,3,5
4748,98,98.0,135,2020-06-17,3,4
4749,87,97.6,74,2020-06-17,3,5
4750,85,97.4,67,2020-06-17,2,5
4751,98,98.0,59,2020-06-17,2,5
4752,102,99.0,82,2020-06-17,1,5
4753,81,95.7,90,2020-06-17,3,5
4754,95,96.8,60,2020-06-17,1,5
4755,82,95.6,65,2020-06-17,3,4
4756,113,99.2,81,2020-06-17,1,5
4757,87,95.5,59,2020-06-17,3,5
4758,111,98.7,98,2020-06-17,1,5
4759,95,96.3,63,2020-06-17,3,4
4760,92,97.0,107,2020-06-17,3,5
4761,80,95.4,72,2020-06-17,1,4
4762,96,97.3,129,2020-06-17,1,5
4763,90,95.5,69,2020-06-17,1,4
4764,94,97.2,62,2020-06-17,1,4
4765,96,95.8,80,2020-06-17,2,5
4766,106,98.7,177,2020-06-17,1,5
4767,100,98.8,80,2020-06-17,2,5
4768,98,96.5,90,2020-06-17,2,4
4769,98,97.8,42,2020-06-17,2,5
4770,102,97.0,65,2020-06-17,1,5
4771,97,96.6,87,2020-06-18,1,5
4772,70,94.6,42,2020-06-18,3,4
4773,113,99.3,85,2020-06-18,1,5
4774,88,96.4,81,2020-06-18,3,5
4775,96,97.4,102,2020-06-18,2,5
4776,85,96.3,82,2020-06-18,3,5
4777,107,98.4,66,2020-06-18,4,5
4778,86,96.6,40,2020-06-18,4,5
4779,88,96.7,104,2020-06-18,3,5
4780,87,96.0,64,2020-06-18,1,5
4781,99,97.4,71,2020-06-18,1,5
4782,90,95.2,33,2020-06-18,2,5
4783,98,97.9,60,2020-06-18,3,4
4784,91,96.8,46,2020-06-18,3,5
4785,91,95.9,73,2020-06-18,5,5
4786,85,96.1,56,2020-06-18,1,5
4787,91,95.8,75,2020-06-18,2,5
4788,92,97.1,95,2020-06-18,1,4
4789,96,97.0,88,2020-06-18,1,5
4790,79,94.7,54,2020-06-18,2,5
4791,77,95.5,58,2020-06-18,4,5
4792,81,94.9,47,2020-06-18,4,5
4793,84,97.3,71,2020-06-18,1,3
4794,74,97.4,58,2020-06-18,4,5
4795,103,97.7,87,2020-06-18,1,5
4796,89,97.1,92,2020-06-18,3,5
4797,81,95.5,49,2020-06-18,2,5
4798,93,96.7,77,2020-06-18,1,5
4799,80,96.0,71,2020-06-18,3,5
4800,93,97.2,54,2020-06-18,2,5
4801,99,97.1,96,2020-06-18,2,3
4802,93,98.1,92,2020-06-18,2,5
4803,90,96.8,63,2020-06-18,2,5
4804,81,97.2,51,2020-06-18,5,5
4805,99,99.3,41,2020-06-18,4,5
4806,90,97.1,66,2020-06-18,2,5
4807,80,96.7,70,2020-06-18,1,5
4808,96,96.8,111,2020-06-18,5,5
4809,78,97.3,43,2020-06-18,3,5
4810,95,96.8,81,2020-06-19,1,5
4811,101,97.9,69,2020-06-19,2,5
4812,107,97.7,68,2020-06-19,1,5
4813,94,97.9,75,2020-06-19,4,5
4814,85,95.4,49,2020-06-19,2,5
4815,98,97.0,83,2020-06-19,2,4
4816,95,96.3,110,2020-06-19,1,5
4817,90,96.5,59,2020-06-19,1,4
4818,80,95.7,72,2020-06-19,3,4
4819,83,97.0,85,2020-06-19,3,3
4820,86,96.8,69,2020-06-19,3,5
4821,96,97.3,105,2020-06-19,1,3
4822,83,96.0,58,2020-06-19,1,5
4823,102,96.9,63,2020-06-20,1,5
4824,88,95.6,44,2020-06-20,2,5
4825,83,94.8,62,2020-06-20,1,5
4826,102,98.4,98,2020-06-20,1,4
4827,116,98.7,170,2020-06-20,1,5
4828,113,98.0,75,2020-06-20,1,3
4829,81,94.9,75,2020-06-20,2,3
4830,99,97.0,74,2020-06-20,2,3
4831,92,96.7,63,2020-06-20,1,5
4832,88,96.2,91,2020-06-20,2,5
4833,87,95.4,99,2020-06-20,2,5
4834,94,96.3,72,2020-06-20,2,5
4835,84,95.6,36,2020-06-20,4,5
4836,103,96.4,62,2020-06-20,1,2
4837,96,96.2,99,2020-06-20,4,5
4838,87,95.7,55,2020-06-20,2,5
4839,103,97.5,67,2020-06-20,1,5
4840,94,96.8,112,2020-06-20,1,5
4841,110,98.5,110,2020-06-20,1,5
4842,91,97.3,56,2020-06-20,2,4
4843,90,96.5,116,2020-06-20,1,5
4844,85,96.1,93,2020-06-20,1,2
4845,82,96.4,63,2020-06-20,2,5
4846,81,96.6,43,2020-06-20,3,5
4847,102,97.1,93,2020-06-20,1,4
4848,78,94.5,77,2020-06-20,3,5
4849,75,95.8,50,2020-06-21,1,4
4850,76,93.5,57,2020-06-21,2,5
4851,92,96.0,95,2020-06-21,1,5
4852,90,96.0,69,2020-06-21,1,5
4853,108,98.5,70,2020-06-21,1,5
4854,101,98.0,79,2020-06-21,1,5
4855,105,97.1,61,2020-06-21,1,5
4856,102,97.1,46,2020-06-21,1,5
4857,96,97.1,151,2020-06-21,2,5
4858,102,98.0,95,2020-06-21,2,5
4859,91,97.4,65,2020-06-21,3,5
4860,92,96.4,47,2020-06-21,3,4
4861,93,97.0,68,2020-06-21,2,4
4862,84,96.0,42,2020-06-21,5,5
4863,94,96.4,99,2020-06-21,4,5
4864,85,94.6,40,2020-06-21,4,4
4865,81,95.5,66,2020-06-22,2,5
4866,81,95.7,43,2020-06-22,4,5
4867,88,96.0,105,2020-06-22,3,5
4868,92,97.5,34,2020-06-22,1,5
4869,95,96.9,63,2020-06-22,1,5
4870,89,97.0,40,2020-06-22,2,4
4871,91,95.2,57,2020-06-22,1,5
4872,93,97.2,94,2020-06-22,2,5
4873,85,96.0,82,2020-06-22,3,5
4874,103,97.6,92,2020-06-22,1,5
4875,84,97.2,72,2020-06-22,5,5
4876,92,96.3,103,2020-06-22,1,5
4877,103,98.7,53,2020-06-22,1,4
4878,92,96.8,91,2020-06-22,2,5
4879,100,97.8,37,2020-06-22,1,5
4880,109,98.1,71,2020-06-22,3,5
4881,83,95.1,80,2020-06-22,2,5
4882,88,96.8,93,2020-06-23,2,5
4883,100,97.0,111,2020-06-23,3,5
4884,92,96.0,84,2020-06-23,2,5
4885,109,98.5,98,2020-06-23,1,4
4886,97,97.6,74,2020-06-23,4,5
4887,103,98.7,70,2020-06-23,3,5
4888,98,97.7,80,2020-06-23,2,5
4889,111,98.5,105,2020-06-23,2,5
4890,116,98.5,98,2020-06-24,1,3
4891,66,94.0,33,2020-06-24,3,4
4892,101,96.4,81,2020-06-24,2,5
4893,89,96.0,54,2020-06-24,4,5
4894,97,96.6,123,2020-06-24,1,3
4895,83,97.1,44,2020-06-24,3,4
4896,98,97.4,104,2020-06-24,1,5
4897,96,96.4,102,2020-06-24,1,5
4898,95,96.4,68,2020-06-24,3,5
4899,112,98.3,78,2020-06-24,2,3
4900,89,95.9,129,2020-06-24,1,5
4901,105,97.7,170,2020-06-24,2,4
4902,92,95.9,128,2020-06-24,1,4
4903,100,97.2,66,2020-06-24,3,5
4904,109,99.1,60,2020-06-24,1,5
4905,100,95.9,55,2020-06-24,1,4
4906,86,96.6,72,2020-06-24,1,5
4907,100,97.4,147,2020-06-24,2,3
4908,102,99.5,65,2020-06-25,4,5
4909,80,96.5,37,2020-06-25,4,5
4910,83,95.2,67,2020-06-25,4,5
4911,102,97.8,95,2020-06-25,2,5
4912,99,98.8,49,2020-06-25,2,4
4913,101,98.2,68,2020-06-25,2,4
4914,82,96.6,66,2020-06-25,3,5
4915,90,95.1,57,2020-06-25,4,5
4916,101,98.1,79,2020-06-25,1,5
4917,93,96.6,73,2020-06-25,4,5
4918,95,97.0,180,2020-06-25,3,4
4919,108,98.1,102,2020-06-25,2,5
4920,103,97.4,57,2020-06-25,1,5
4921,93,97.1,82,2020-06-25,1,5
4922,101,97.5,71,2020-06-25,1,5
4923,91,96.3,80,2020-06-25,1,5
4924,87,95.5,127,2020-06-25,3,5
4925,99,96.5,71,2020-06-25,1,5
4926,81,94.6,79,2020-06-25,1,5
4927,116,98.8,94,2020-06-25,2,5
4928,92,95.8,84,2020-06-25,1,4
4929,89,97.5,52,2020-06-25,2,5
4930,102,98.3,106,2020-06-25,1,5
4931,92,96.6,83,2020-06-25,4,5
4932,101,96.6,163,2020-06-25,2,5
4933,103,97.5,57,2020-06-25,1,3
4934,87,96.4,55,2020-06-25,3,5
4935,96,96.1,59,2020-06-25,3,5
4936,98,96.3,91,2020-06-25,1,5
4937,100,96.4,32,2020-06-25,1,5
4938,92,96.0,84,2020-06-25,2,5
4939,104,98.4,66,2020-06-25,1,5
4940,110,97.4,75,2020-06-25,1,5
4941,93,96.3,133,2020-06-25,2,5
4942,98,96.3,130,2020-06-25,1,3
4943,104,96.8,91,2020-06-25,2,4
4944,95,97.0,83,2020-06-25,1,5
4945,99,96.4,68,2020-06-25,2,5
4946,98,95.9,56,2020-06-25,1,5
4947,87,96.1,62,2020-06-25,3,5
4948,95,97.1,58,2020-06-25,1,5
4949,108,97.6,77,2020-06-25,2,5
4950,102,96.7,73,2020-06-25,2,3
4951,93,96.6,67,2020-06-25,2,5
4952,112,97.3,76,2020-06-25,1,5
4953,100,97.1,103,2020-06-25,2,4
4954,104,97.0,97,2020-06-25,1,4
4955,98,98.2,103,2020-06-25,2,5
4956,85,95.1,81,2020-06-25,2,3
4957,94,96.4,70,2020-06-25,2,5
4958,98,96.9,149,2020-06-25,1,5
4959,102,97.5,75,2020-06-25,2,5
4960,94,95.5,69,2020-06-25,4,5
4961,82,94.4,45,2020-06-25,3,3
4962,93,96.9,144,2020-06-25,1,4
4963,104,96.8,56,2020-06-25,2,3
4964,103,98.5,78,2020-06-25,1,5
4965,99,96.8,165,2020-06-25,2,5
4966,90,95.2,74,2020-06-25,2,4
4967,97,96.0,92,2020-06-25,3,4
4968,83,94.8,56,2020-06-25,4,5
4969,88,96.5,140,2020-06-25,4,5
4970,87,96.5,49,2020-06-25,2,5
4971,96,96.7,122,2020-06-25,1,5
4972,92,96.3,115,2020-06-25,2,5
4973,83,96.2,65,2020-06-25,2,5
4974,99,97.4,81,2020-06-25,1,5
4975,101,97.6,93,2020-06-25,1,5
4976,78,95.1,38,2020-06-25,2,4
4977,101,97.4,122,2020-06-25,1,3
4978,108,98.6,92,2020-06-25,1,4
4979,113,97.8,59,2020-06-25,1,5
4980,101,97.2,66,2020-06-25,2,5
4981,98,97.6,99,2020-06-25,1,4
4982,95,96.3,36,2020-06-25,2,5
4983,92,97.0,123,2020-06-25,4,5
4984,100,97.1,80,2020-06-25,2,5
4985,108,98.9,60,2020-06-26,1,5
4986,118,99.6,81,2020-06-26,1,4
4987,104,97.8,125,2020-06-26,5,5
4988,107,96.8,91,2020-06-26,2,5
4989,78,94.6,39,2020-06-26,3,5
4990,100,96.3,70,2020-06-26,2,5
4991,94,96.4,83,2020-06-26,1,4
4992,75,93.1,34,2020-06-26,4,5
4993,118,98.3,79,2020-06-26,2,5
4994,101,97.1,72,2020-06-26,3,5
4995,107,97.5,89,2020-06-26,2,5
4996,98,96.8,60,2020-06-26,1,5
4997,93,96.6,80,2020-06-26,1,3
4998,94,96.3,50,2020-06-26,3,4
4999,88,95.0,84,2020-06-26,2,5
5000,81,95.8,38,2020-06-26,1,4
5001,92,95.6,93,2020-06-26,1,5
5002,97,97.0,111,2020-06-26,3,5
5003,98,97.7,146,2020-06-26,3,4
5004,86,95.4,43,2020-06-26,3,5
5005,97,96.8,58,2020-06-26,2,5
5006,91,96.1,130,2020-06-26,2,5
5007,111,98.4,118,2020-06-26,2,5
5008,110,98.1,49,2020-06-26,1,5
5009,87,96.2,86,2020-06-26,1,3
5010,110,97.8,82,2020-06-26,1,5
5011,75,95.4,50,2020-06-26,3,4
5012,79,94.6,58,2020-06-26,2,5
5013,95,96.2,79,2020-06-26,1,5
5014,96,97.5,119,2020-06-27,3,5
5015,102,98.2,75,2020-06-27,1,4
5016,95,97.1,83,2020-06-27,4,5
5017,85,96.5,87,2020-06-27,1,4
5018,93,97.3,46,2020-06-27,2,5
5019,91,96.8,58,2020-06-27,2,5
5020,93,97.1,125,2020-06-27,2,5
5021,90,95.5,55,2020-06-27,3,4
5022,119,99.4,50,2020-06-27,1,4
5023,94,96.0,80,2020-06-27,2,5
5024,87,95.9,58,2020-06-27,1,5
5025,88,96.4,185,2020-06-27,2,5
5026,110,98.7,101,2020-06-27,3,5
5027,94,97.9,47,2020-06-27,3,5
5028,99,97.8,70,2020-06-27,1,5
5029,99,97.7,74,2020-06-27,2,5
5030,83,95.6,85,2020-06-27,3,3
5031,104,97.6,82,2020-06-27,1,5
5032,102,97.5,147,2020-06-27,3,5
5033,94,95.8,67,2020-06-27,3,4
5034,94,96.4,70,2020-06-27,3,5
5035,110,98.1,141,2020-06-27,1,2
5036,99,95.7,70,2020-06-27,3,4
5037,89,95.7,83,2020-06-27,1,4
5038,118,98.7,88,2020-06-27,2,4
5039,87,96.2,70,2020-06-27,1,4
5040,116,99.1,93,2020-06-27,2,5
5041,92,97.2,53,2020-06-27,1,5
5042,74,94.1,46,2020-06-27,4,5
5043,99,97.4,63,2020-06-27,3,5
5044,89,96.2,89,2020-06-27,4,5
5045,95,96.5,102,2020-06-27,1,2
5046,88,95.8,40,2020-06-27,2,3
5047,93,96.9,65,2020-06-27,3,5
5048,98,97.0,67,2020-06-28,2,5
5049,89,95.9,143,2020-06-28,2,5
5050,94,96.2,105,2020-06-28,2,4
5051,97,96.8,104,2020-06-28,1,2
5052,87,95.9,62,2020-06-28,1,2
5053,93,96.6,113,2020-06-28,1,5
5054,103,97.6,110,2020-06-28,3,4
5055,106,97.6,66,2020-06-28,1,5
5056,95,97.4,140,2020-06-28,5,5
5057,82,96.2,102,2020-06-28,1,5
5058,90,97.0,64,2020-06-28,3,4
5059,94,97.5,103,2020-06-28,1,5
5060,114,98.6,210,2020-06-28,3,5
5061,92,96.8,113,2020-06-29,2,3
5062,112,98.7,88,2020-06-29,1,5
5063,93,96.9,78,2020-06-29,3,5
5064,80,95.0,59,2020-06-29,2,2
5065,95,97.4,58,2020-06-29,1,5
5066,97,97.3,103,2020-06-29,1,4
5067,93,97.9,115,2020-06-29,1,5
5068,100,98.3,75,2020-06-29,1,5
5069,93,96.5,48,2020-06-29,3,5
5070,113,98.4,75,2020-06-29,2,4
5071,111,98.3,59,2020-06-29,1,5
5072,84,95.8,83,2020-06-29,3,5
5073,82,94.9,80,2020-06-29,3,4
5074,99,96.0,98,2020-06-29,2,3
5075,79,94.7,87,2020-06-29,1,4
5076,92,97.3,74,2020-06-29,3,3
5077,95,96.4,77,2020-06-29,2,5
5078,89,96.5,89,2020-06-29,1,5
5079,84,96.2,152,2020-06-29,3,4
5080,91,96.2,137,2020-06-29,1,5
5081,92,96.7,60,2020-06-29,3,5
5082,86,96.2,56,2020-06-29,4,5
5083,77,94.6,127,2020-06-29,2,5
5084,91,96.3,130,2020-06-29,2,4
5085,64,93.6,28,2020-06-29,3,5
5086,93,98.3,53,2020-06-29,1,5
5087,98,96.7,60,2020-06-29,1,5
5088,89,96.6,157,2020-06-29,1,5
5089,95,96.2,76,2020-06-29,3,4
5090,80,94.7,86,2020-06-29,2,3
5091,80,97.3,40,2020-06-29,1,5
5092,102,98.2,148,2020-06-29,1,3
5093,100,97.6,100,2020-06-29,2,4
5094,96,96.7,65,2020-06-29,3,5
5095,111,99.4,55,2020-06-29,1,5
5096,102,97.2,63,2020-06-29,3,5
5097,96,96.6,61,2020-06-29,3,5
5098,89,95.8,194,2020-06-29,1,3
5099,92,96.3,76,2020-06-29,4,5
5100,97,97.2,81,2020-06-29,2,5
5101,106,98.8,103,2020-06-29,1,5
5102,91,95.8,98,2020-06-29,3,5
5103,89,96.8,76,2020-06-29,1,5
5104,90,98.4,65,2020-06-29,1,5
5105,82,95.3,60,2020-06-29,2,4
5106,99,97.2,78,2020-06-29,1,5
5107,104,97.8,63,2020-06-29,4,5
5108,85,95.4,43,2020-06-29,4,5
5109,107,97.2,63,2020-06-29,2,4
5110,97,97.7,42,2020-06-29,1,3
5111,96,97.6,114,2020-06-29,3,5
5112,98,97.3,97,2020-06-29,2,3
5113,95,96.9,85,2020-06-29,1,5
5114,95,96.7,157,2020-06-29,4,5
5115,116,99.5,73,2020-06-29,1,5
5116,96,96.7,113,2020-06-29,3,5
5117,105,97.9,95,2020-06-29,1,5
5118,103,97.7,101,2020-06-29,1,5
5119,95,97.4,77,2020-06-29,3,5
5120,95,95.7,85,2020-06-29,1,5
5121,105,97.4,89,2020-06-29,1,5
5122,88,95.8,121,2020-06-29,2,5
5123,94,96.4,74,2020-06-29,3,5
5124,105,98.3,98,2020-06-29,1,4
5125,95,97.0,87,2020-06-29,3,5
5126,87,95.0,58,2020-06-29,2,5
5127,91,95.9,51,2020-06-29,1,5
5128,89,95.4,159,2020-06-29,1,5
5129,97,97.8,70,2020-06-29,1,5
5130,90,96.4,135,2020-06-29,1,4
5131,86,96.4,84,2020-06-29,2,5
5132,88,97.0,43,2020-06-29,1,5
5133,90,95.5,64,2020-06-29,1,5
5134,101,96.6,108,2020-06-29,1,5
5135,84,95.6,101,2020-06-29,1,5
5136,90,96.5,131,2020-06-29,2,4
5137,99,97.5,51,2020-06-29,1,5
5138,93,97.0,62,2020-06-29,1,5
5139,74,95.5,42,2020-06-29,1,3
5140,91,97.0,95,2020-06-29,1,4
5141,95,97.4,95,2020-06-29,1,4
5142,89,96.3,70,2020-06-30,3,5
5143,91,96.3,58,2020-06-30,1,3
5144,86,97.0,133,2020-06-30,3,5
5145,92,97.3,150,2020-06-30,3,5
5146,106,98.6,85,2020-06-30,1,5
5147,95,97.7,92,2020-06-30,1,5
5148,98,95.8,60,2020-06-30,4,5
5149,89,96.1,85,2020-06-30,4,4
5150,90,96.2,92,2020-06-30,3,5
5151,77,96.2,64,2020-06-30,3,5
5152,99,97.5,96,2020-06-30,1,5
5153,111,99.2,81,2020-07-01,2,5
5154,98,97.5,59,2020-07-01,1,5
5155,104,99.0,68,2020-07-01,3,5
5156,92,96.8,163,2020-07-01,2,3
5157,101,97.7,82,2020-07-01,2,4
5158,84,96.7,109,2020-07-01,2,3
5159,89,96.6,80,2020-07-01,1,4
5160,86,96.2,35,2020-07-01,2,5
5161,81,95.7,44,2020-07-01,2,4
5162,103,98.8,51,2020-07-01,2,5
5163,101,98.0,78,2020-07-01,1,4
5164,94,97.7,94,2020-07-01,3,5
5165,88,96.1,55,2020-07-01,2,4
5166,91,96.6,126,2020-07-01,2,4
5167,91,97.3,112,2020-07-01,1,5
5168,97,97.1,112,2020-07-01,2,5
5169,106,97.3,67,2020-07-01,2,5
5170,92,97.4,53,2020-07-01,1,4
5171,85,95.0,58,2020-07-01,2,5
5172,103,96.7,82,2020-07-01,2,3
5173,92,96.7,96,2020-07-01,1,4
5174,85,96.5,101,2020-07-01,4,5
5175,86,96.9,86,2020-07-01,3,4
5176,92,96.1,69,2020-07-01,3,4
5177,84,95.3,69,2020-07-01,2,5
5178,93,96.9,116,2020-07-01,3,5
5179,88,95.2,83,2020-07-01,2,5
5180,101,98.3,201,2020-07-01,1,5
5181,98,96.6,131,2020-07-01,2,3
5182,86,96.3,76,2020-07-01,2,3
5183,101,96.8,92,2020-07-01,2,5
5184,95,97.5,71,2020-07-01,3,5
5185,98,97.7,100,2020-07-01,4,5
5186,88,96.2,64,2020-07-01,2,4
5187,90,95.9,73,2020-07-01,4,4
5188,93,96.5,87,2020-07-01,1,3
5189,111,98.6,119,2020-07-01,2,5
5190,94,96.7,96,2020-07-01,1,5
5191,97,96.7,77,2020-07-01,1,5
5192,89,95.8,64,2020-07-01,2,5
5193,92,96.1,101,2020-07-01,3,5
5194,103,97.8,77,2020-07-01,2,5
5195,91,95.7,89,2020-07-01,2,5
5196,96,95.4,51,2020-07-01,4,5
5197,102,97.8,119,2020-07-01,3,5
5198,106,97.8,165,2020-07-01,1,5
5199,108,97.4,102,2020-07-01,1,5
5200,102,97.5,124,2020-07-01,2,4
5201,108,97.5,129,2020-07-01,1,5
5202,107,98.0,84,2020-07-01,1,5
5203,102,97.4,51,2020-07-01,2,5
5204,111,97.6,102,2020-07-01,1,4
5205,98,96.5,120,2020-07-01,2,5
5206,96,97.4,123,2020-07-02,2,4
5207,87,96.4,61,2020-07-02,1,5
5208,99,97.6,81,2020-07-02,3,5
5209,90,97.0,56,2020-07-02,4,5
5210,93,97.3,75,2020-07-02,1,5
5211,101,97.9,164,2020-07-02,1,5
5212,102,96.7,113,2020-07-02,1,4
5213,98,97.2,159,2020-07-02,2,4
5214,105,97.2,61,2020-07-02,2,5
5215,87,95.9,62,2020-07-02,5,5
5216,91,96.0,61,2020-07-02,3,5
5217,87,95.5,68,2020-07-02,2,2
5218,92,97.0,94,2020-07-02,2,5
5219,82,95.2,68,2020-07-02,2,4
5220,94,96.9,98,2020-07-02,4,5
5221,92,97.0,77,2020-07-02,2,5
5222,95,96.3,114,2020-07-02,1,5
5223,85,95.3,68,2020-07-02,3,5
5224,107,98.1,82,2020-07-02,1,4
5225,93,97.2,132,2020-07-02,2,4
5226,90,97.0,57,2020-07-02,3,4
5227,103,98.4,128,2020-07-02,1,5
5228,89,96.8,70,2020-07-02,2,4
